run,stage2_budget,stage2_success,stage2_status,stage2_nfev,stage2_cost,stage2_optimality,median_pre_px,median_post_px,p90_pre_px,p90_post_px,p95_pre_px,p95_post_px,final_tracks,final_observations,outcome,fallback_used
phase5_baseline,300,False,0,300,1672.5158610840583,29147.097690606475,4.954228830310301,2.565841257741425,8.037445674813847,5.198581787564347,9.295044479071942,7.082472397771182,21,183,FAIL,False
phase5_1_recovery,600,True,3,322,1657.9536839072907,18891.04913588637,4.954228830310301,2.558894746575717,8.037445674813847,5.053964151798039,9.295044479071942,7.055627179509716,21,183,RECOVERED_REVIEW,False
