sequence,exercise,sequence_status,camera_id,vggt_rotation_pairwise_p95_deg,vggt_center_dispersion_p95,refined_rotation_change_from_robust_init_deg,refined_center_change_from_robust_init,refined_center_change_scene_fraction,fx_change_fraction,fy_change_fraction,principal_point_change_px
barbellrow_0000,barbellrow,PASS,cam1,0.1442374080852089,0.0011003820292622899,0.0,0.0,0.0,0.0,0.0,0.0
barbellrow_0000,barbellrow,PASS,cam2,0.336223204168056,0.008212380959924506,0.5508695988590592,0.00035773497104764877,0.00010132014035805217,0.0,0.0,0.0
barbellrow_0000,barbellrow,PASS,cam3,0.3621999088789668,0.0029683690236826273,0.2111505146430187,0.0030842889192180005,0.0008735533607038074,0.0,0.0,0.0
barbellrow_0001,barbellrow,PASS,cam1,0.15734180930962413,0.001477469510122752,0.0,0.0,0.0,0.0,0.0,0.0
barbellrow_0001,barbellrow,PASS,cam2,0.982525399263499,0.011274981466733806,0.4510354280968658,0.0049365067821663874,0.0014178739422805286,0.0,0.0,0.0
barbellrow_0001,barbellrow,PASS,cam3,0.6315908971380914,0.0059535389680133105,0.20915808954270168,0.002973501396445634,0.0008540553742549126,0.0,0.0,0.0
barbellrow_0002,barbellrow,PASS,cam1,0.15534928008744583,0.001117191556438595,0.0,0.0,0.0,0.0,0.0,0.0
barbellrow_0002,barbellrow,PASS,cam2,0.3749568124685461,0.009798868187947063,0.5311678987286726,0.0035423302478243884,0.0010221570546570433,0.0,0.0,0.0
barbellrow_0002,barbellrow,PASS,cam3,0.24209811825164354,0.005910120439778492,0.799351522125273,0.002055581543106542,0.0005931483031542932,0.0,0.0,0.0
barbellrow_0003,barbellrow,REVIEW,cam1,0.1329295609071735,0.0026857200577213767,0.0,0.0,0.0,0.0,0.0,0.0
barbellrow_0003,barbellrow,REVIEW,cam2,0.5316077455944443,0.011933457726915425,0.25418249229391626,0.005342771176277863,0.001660953600512161,0.0,0.0,0.0
barbellrow_0003,barbellrow,REVIEW,cam3,0.6929488459571336,0.006156866803311811,0.48883750160633876,0.0036847838838979653,0.0011455207152130545,0.0,0.0,0.0
benchpress_0000,benchpress,PASS,cam1,0.09301502751404121,0.0011897037654410544,0.0,0.0,0.0,0.0,0.0,0.0
benchpress_0000,benchpress,PASS,cam2,0.4413863777986354,0.007994597310045402,0.0,1.9211597948723651e-10,6.689638416544789e-11,0.0,0.0,0.0
benchpress_0000,benchpress,PASS,cam3,0.5417188332090366,0.0046651666319252865,0.0,4.64812371052043e-10,1.6185153895965207e-10,0.0,0.0,0.0
benchpress_0001,benchpress,PASS,cam1,0.07642770575506946,0.0005567897140177464,0.0,0.0,0.0,0.0,0.0,0.0
benchpress_0001,benchpress,PASS,cam2,0.7220587166427107,0.006878268370606757,0.0007196273663443431,3.1388685408351753e-06,1.0910684161691972e-06,0.0,0.0,0.0
benchpress_0001,benchpress,PASS,cam3,0.33396246063101337,0.0032759193104914255,0.0011396781329512063,4.067476465376355e-06,1.4138518536691724e-06,0.0,0.0,0.0
benchpress_0002,benchpress,PASS,cam1,0.10409827678340618,0.0012856804944595722,0.0,0.0,0.0,0.0,0.0,0.0
benchpress_0002,benchpress,PASS,cam2,0.453268341621512,0.008583797888074932,0.5979400068125006,0.0007907618211338214,0.00028824710149092384,0.0,0.0,0.0
benchpress_0002,benchpress,PASS,cam3,0.4814471482605629,0.005663899678071107,0.06938493542801678,0.003740795381540332,0.0013635881212038915,0.0,0.0,0.0
benchpress_0003,benchpress,PASS,cam1,0.08565487917334436,0.0005753950590402516,0.0,0.0,0.0,0.0,0.0,0.0
benchpress_0003,benchpress,PASS,cam2,0.6070754121809616,0.006552829957660348,0.20488969302210736,0.00012016274801304187,4.2002155292231584e-05,0.0,0.0,0.0
